study	status	sex	ageClass	ageMin	ageMax	bodyweight	COkg	CO	flowLiver	flowLiverkg	dtype
sim1997	healthy	all	0 to 17 years	0	17	29.77	142.79	4250.4	1062.6	35.6975	individual
sim1997	healthy	all	0 to 17 years	0	17	29.84	138.65	4137.96	1034.49	34.6625	individual
sim1997	healthy	all	0 to 17 years	0	17	30.93	139.02	4300.43	1075.1075	34.755	individual
sim1997	healthy	all	0 to 17 years	0	17	32.69	122.86	4016.67	1004.1675	30.715	individual
sim1997	healthy	all	0 to 17 years	0	17	33.21	117.35	3897.04	974.26	29.3375	individual
sim1997	healthy	all	0 to 17 years	0	17	34.95	115.33	4030.99	1007.7475	28.8325	individual
sim1997	healthy	all	0 to 17 years	0	17	34.81	109.81	3822.73	955.6825	27.4525	individual
sim1997	healthy	all	0 to 17 years	0	17	33.87	109.44	3706.66	926.665	27.36	individual
sim1997	healthy	all	0 to 17 years	0	17	32.78	109.76	3597.85	899.4625	27.44	individual
sim1997	healthy	all	0 to 17 years	0	17	31.76	110.08	3496.39	874.0975	27.52	individual
sim1997	healthy	all	0 to 17 years	0	17	31.77	105.94	3365.43	841.3575	26.485	individual
sim1997	healthy	all	0 to 17 years	0	17	32.79	101.48	3327.47	831.8675	25.37	individual
sim1997	healthy	all	0 to 17 years	0	17	31.85	96.98	3088.65	772.1625	24.245	individual
sim1997	healthy	all	0 to 17 years	0	17	30.98	99.02	3067.37	766.8425	24.755	individual
sim1997	healthy	all	0 to 17 years	0	17	29.82	92.79	2767.04	691.76	23.1975	individual
sim1997	healthy	all	0 to 17 years	0	17	24.81	92.67	2299.1	574.775	23.1675	individual
sim1997	healthy	all	0 to 17 years	0	17	27.35	97.9	2677.24	669.31	24.475	individual
sim1997	healthy	all	0 to 17 years	0	17	25.96	100.28	2603.71	650.9275	25.07	individual
sim1997	healthy	all	0 to 17 years	0	17	25.89	104.07	2694.16	673.54	26.0175	individual
sim1997	healthy	all	0 to 17 years	0	17	24.8	103.36	2563.12	640.78	25.84	individual
sim1997	healthy	all	0 to 17 years	0	17	23.85	111.61	2661.42	665.355	27.9025	individual
sim1997	healthy	all	0 to 17 years	0	17	22.9	113.31	2594.81	648.7025	28.3275	individual
sim1997	healthy	all	0 to 17 years	0	17	22.75	116.76	2656.3	664.075	29.19	individual
sim1997	healthy	all	0 to 17 years	0	17	23.69	117.47	2783.32	695.83	29.3675	individual
sim1997	healthy	all	0 to 17 years	0	17	24.56	118.18	2903.06	725.765	29.545	individual
sim1997	healthy	all	0 to 17 years	0	17	23.69	124.71	2953.93	738.4825	31.1775	individual
sim1997	healthy	all	0 to 17 years	0	17	24.34	127.48	3102.59	775.6475	31.87	individual
sim1997	healthy	all	0 to 17 years	0	17	24.92	129.57	3228.27	807.0675	32.3925	individual
sim1997	healthy	all	0 to 17 years	0	17	25.14	126.81	3187.67	796.9175	31.7025	individual
sim1997	healthy	all	0 to 17 years	0	17	25	117.5	2937.66	734.415	29.375	individual
sim1997	healthy	all	0 to 17 years	0	17	24.86	113.01	2809.63	702.4075	28.2525	individual
sim1997	healthy	all	0 to 17 years	0	17	25.3	110.61	2798.36	699.59	27.6525	individual
sim1997	healthy	all	0 to 17 years	0	17	26.83	107.89	2894.36	723.59	26.9725	individual
sim1997	healthy	all	0 to 17 years	0	17	27.27	102.38	2791.85	697.9625	25.595	individual
sim1997	healthy	all	0 to 17 years	0	17	27.85	102.05	2842.15	710.5375	25.5125	individual
sim1997	healthy	all	0 to 17 years	0	17	28.36	104.13	2952.82	738.205	26.0325	individual
sim1997	healthy	all	0 to 17 years	0	17	27.92	106.88	2983.85	745.9625	26.72	individual
sim1997	healthy	all	0 to 17 years	0	17	26.74	118.58	3171.11	792.7775	29.645	individual
sim1997	healthy	all	0 to 17 years	0	17	27.97	126.88	3548.74	887.185	31.72	individual
sim1997	healthy	all	0 to 17 years	0	17	29.71	127.96	3801.72	950.43	31.99	individual
sim1997	healthy	all	0 to 17 years	0	17	28.92	124.84	3609.64	902.41	31.21	individual
sim1997	healthy	all	0 to 17 years	0	17	27.9	120.67	3367.13	841.7825	30.1675	individual
sim1997	healthy	all	0 to 17 years	0	17	27.83	116.88	3253.23	813.3075	29.22	individual
sim1997	healthy	all	0 to 17 years	0	17	28.92	117.59	3401.17	850.2925	29.3975	individual
sim1997	healthy	all	0 to 17 years	0	17	29.79	116.93	3483.81	870.9525	29.2325	individual
sim1997	healthy	all	0 to 17 years	0	17	29.87	114.51	3420.56	855.14	28.6275	individual
sim1997	healthy	all	0 to 17 years	0	17	29.8	112.44	3350.79	837.6975	28.11	individual
sim1997	healthy	all	0 to 17 years	0	17	29.88	106.58	3184.57	796.1425	26.645	individual
sim1997	healthy	all	0 to 17 years	0	17	29.74	103.48	3077.06	769.265	25.87	individual
sim1997	healthy	all	0 to 17 years	0	17	30.89	108.33	3346.76	836.69	27.0825	individual
sim1997	healthy	all	0 to 17 years	0	17	30.88	124.19	3834.67	958.6675	31.0475	individual
sim1997	healthy	all	0 to 17 years	0	17	31.82	120.77	3843.36	960.84	30.1925	individual
sim1997	healthy	all	0 to 17 years	0	17	31.83	117.67	3744.99	936.2475	29.4175	individual
sim1997	healthy	all	0 to 17 years	0	17	31.83	115.6	3679.4	919.85	28.9	individual
sim1997	healthy	all	18 to 85 years	18	85	34.81	117.39	4085.87	1021.4675	29.3475	individual
sim1997	healthy	all	18 to 85 years	18	85	35.62	101.55	3617.32	904.33	25.3875	individual
sim1997	healthy	all	18 to 85 years	18	85	37.79	111.26	4204.34	1051.085	27.815	individual
sim1997	healthy	all	18 to 85 years	18	85	40.73	78.22	3186.06	796.515	19.555	individual
sim1997	healthy	all	18 to 85 years	18	85	43.4	92.43	4011.47	1002.8675	23.1075	individual
sim1997	healthy	all	18 to 85 years	18	85	42.64	60.68	2587.38	646.845	15.17	individual
sim1997	healthy	all	18 to 85 years	18	85	43.93	68.99	3031.14	757.785	17.2475	individual
sim1997	healthy	all	18 to 85 years	18	85	44.87	72.81	3267.23	816.8075	18.2025	individual
sim1997	healthy	all	18 to 85 years	18	85	47.36	61.83	2928.14	732.035	15.4575	individual
sim1997	healthy	all	18 to 85 years	18	85	47.87	60.12	2877.75	719.4375	15.03	individual
sim1997	healthy	all	18 to 85 years	18	85	48.74	61.18	2981.52	745.38	15.295	individual
sim1997	healthy	all	18 to 85 years	18	85	49.9	63.96	3191.45	797.8625	15.99	individual
sim1997	healthy	all	18 to 85 years	18	85	48.8	66.35	3238.13	809.5325	16.5875	individual
sim1997	healthy	all	18 to 85 years	18	85	47.57	65.98	3138.42	784.605	16.495	individual
sim1997	healthy	all	18 to 85 years	18	85	47.56	73.91	3515.06	878.765	18.4775	individual
sim1997	healthy	all	18 to 85 years	18	85	46.97	82.17	3859.52	964.88	20.5425	individual
sim1997	healthy	all	18 to 85 years	18	85	46.68	80.44	3754.99	938.7475	20.11	individual
sim1997	healthy	all	18 to 85 years	18	85	50	99.83	4991.6	1247.9	24.9575	individual
sim1997	healthy	all	18 to 85 years	18	85	49.8	88.44	4404.17	1101.0425	22.11	individual
sim1997	healthy	all	18 to 85 years	18	85	55.5	118.24	6562.32	1640.58	29.56	individual
sim1997	healthy	all	18 to 85 years	18	85	49.8	81.55	4061.36	1015.34	20.3875	individual
sim1997	healthy	all	18 to 85 years	18	85	50.02	79.48	3976.07	994.0175	19.87	individual
sim1997	healthy	all	18 to 85 years	18	85	50.6	80.53	4075.22	1018.805	20.1325	individual
sim1997	healthy	all	18 to 85 years	18	85	50.82	82.26	4180.5	1045.125	20.565	individual
sim1997	healthy	all	18 to 85 years	18	85	51.18	80.89	4140.34	1035.085	20.2225	individual
sim1997	healthy	all	18 to 85 years	18	85	52.05	85.39	4444.86	1111.215	21.3475	individual
sim1997	healthy	all	18 to 85 years	18	85	51.84	75.73	3926.32	981.58	18.9325	individual
sim1997	healthy	all	18 to 85 years	18	85	52.21	72.98	3810.48	952.62	18.245	individual
sim1997	healthy	all	18 to 85 years	18	85	51.79	61.25	3171.92	792.98	15.3125	individual
sim1997	healthy	all	18 to 85 years	18	85	52.37	57.82	3027.88	756.97	14.455	individual
sim1997	healthy	all	18 to 85 years	18	85	52.3	54.71	2861.47	715.3675	13.6775	individual
sim1997	healthy	all	18 to 85 years	18	85	54.78	43.74	2395.98	598.995	10.935	individual
sim1997	healthy	all	18 to 85 years	18	85	54.32	67.52	3667.68	916.92	16.88	individual
sim1997	healthy	all	18 to 85 years	18	85	53.58	80.6	4318.84	1079.71	20.15	individual
sim1997	healthy	all	18 to 85 years	18	85	52.39	111.61	5846.78	1461.695	27.9025	individual
sim1997	healthy	all	18 to 85 years	18	85	54.43	104.42	5683.14	1420.785	26.105	individual
sim1997	healthy	all	18 to 85 years	18	85	53.71	99.57	5347.64	1336.91	24.8925	individual
sim1997	healthy	all	18 to 85 years	18	85	55.67	97.21	5411.4	1352.85	24.3025	individual
sim1997	healthy	all	18 to 85 years	18	85	56.47	99.29	5606.74	1401.685	24.8225	individual
sim1997	healthy	all	18 to 85 years	18	85	57.05	98.96	5645.6	1411.4	24.74	individual
sim1997	healthy	all	18 to 85 years	18	85	56.55	93.09	5263.75	1315.9375	23.2725	individual
sim1997	healthy	all	18 to 85 years	18	85	54.73	92.36	5054.68	1263.67	23.09	individual
sim1997	healthy	all	18 to 85 years	18	85	54.22	94.41	5119.03	1279.7575	23.6025	individual
sim1997	healthy	all	18 to 85 years	18	85	54.01	89.23	4819.36	1204.84	22.3075	individual
sim1997	healthy	all	18 to 85 years	18	85	55.89	91.35	5105.84	1276.46	22.8375	individual
sim1997	healthy	all	18 to 85 years	18	85	54.67	79.94	4370.44	1092.61	19.985	individual
sim1997	healthy	all	18 to 85 years	18	85	54.75	76.49	4187.86	1046.965	19.1225	individual
sim1997	healthy	all	18 to 85 years	18	85	55.26	76.85	4246.44	1061.61	19.2125	individual
sim1997	healthy	all	18 to 85 years	18	85	55.76	81.69	4554.97	1138.7425	20.4225	individual
sim1997	healthy	all	18 to 85 years	18	85	56.63	78.61	4451.87	1112.9675	19.6525	individual
sim1997	healthy	all	18 to 85 years	18	85	56.92	81.03	4612.29	1153.0725	20.2575	individual
sim1997	healthy	all	18 to 85 years	18	85	56.99	85.86	4892.97	1223.2425	21.465	individual
sim1997	healthy	all	18 to 85 years	18	85	57.06	88.62	5056.45	1264.1125	22.155	individual
sim1997	healthy	all	18 to 85 years	18	85	59.01	99.7	5883.05	1470.7625	24.925	individual
sim1997	healthy	all	18 to 85 years	18	85	59.02	92.11	5436.17	1359.0425	23.0275	individual
sim1997	healthy	all	18 to 85 years	18	85	58	90.02	5221.3	1305.325	22.505	individual
sim1997	healthy	all	18 to 85 years	18	85	58.44	88.65	5180.67	1295.1675	22.1625	individual
sim1997	healthy	all	18 to 85 years	18	85	58.95	85.91	5064.1	1266.025	21.4775	individual
sim1997	healthy	all	18 to 85 years	18	85	58.59	83.83	4911.37	1227.8425	20.9575	individual
sim1997	healthy	all	18 to 85 years	18	85	57.94	81.74	4735.99	1183.9975	20.435	individual
sim1997	healthy	all	18 to 85 years	18	85	58.73	83.14	4883.31	1220.8275	20.785	individual
sim1997	healthy	all	18 to 85 years	18	85	56.86	71.03	4038.59	1009.6475	17.7575	individual
sim1997	healthy	all	18 to 85 years	18	85	57.73	68.29	3942.65	985.6625	17.0725	individual
sim1997	healthy	all	18 to 85 years	18	85	57.88	67.6	3912.91	978.2275	16.9	individual
sim1997	healthy	all	18 to 85 years	18	85	57.45	60.35	3467.35	866.8375	15.0875	individual
sim1997	healthy	all	18 to 85 years	18	85	57.69	45.53	2626.45	656.6125	11.3825	individual
sim1997	healthy	all	18 to 85 years	18	85	58.83	57.63	3390.46	847.615	14.4075	individual
sim1997	healthy	all	18 to 85 years	18	85	58.62	59	3458.36	864.59	14.75	individual
sim1997	healthy	all	18 to 85 years	18	85	58.68	62.11	3644.67	911.1675	15.5275	individual
sim1997	healthy	all	18 to 85 years	18	85	58.97	66.6	3927.17	981.7925	16.65	individual
sim1997	healthy	all	18 to 85 years	18	85	59.03	73.84	4359.08	1089.77	18.46	individual
sim1997	healthy	all	18 to 85 years	18	85	59.48	69.02	4105.14	1026.285	17.255	individual
sim1997	healthy	all	18 to 85 years	18	85	59.48	65.57	3900.3	975.075	16.3925	individual
sim1997	healthy	all	18 to 85 years	18	85	60.42	65.94	3984.39	996.0975	16.485	individual
sim1997	healthy	all	18 to 85 years	18	85	61	66.3	4044.57	1011.1425	16.575	individual
sim1997	healthy	all	18 to 85 years	18	85	60.72	60.43	3669.37	917.3425	15.1075	individual
sim1997	healthy	all	18 to 85 years	18	85	61.01	58.71	3582.27	895.5675	14.6775	individual
sim1997	healthy	all	18 to 85 years	18	85	60.8	54.92	3338.79	834.6975	13.73	individual
sim1997	healthy	all	18 to 85 years	18	85	60.65	53.19	3226.13	806.5325	13.2975	individual
sim1997	healthy	all	18 to 85 years	18	85	60.22	50.07	3015.6	753.9	12.5175	individual
sim1997	healthy	all	18 to 85 years	18	85	60.16	38.69	2327.88	581.97	9.6725	individual
sim1997	healthy	all	18 to 85 years	18	85	60.53	36.98	2238.18	559.545	9.245	individual
sim1997	healthy	all	18 to 85 years	18	85	63.57	42.57	2706.16	676.54	10.6425	individual
sim1997	healthy	all	18 to 85 years	18	85	62.76	54.27	3406.19	851.5475	13.5675	individual
sim1997	healthy	all	18 to 85 years	18	85	62.03	57.36	3558.01	889.5025	14.34	individual
sim1997	healthy	all	18 to 85 years	18	85	62.9	57.73	3630.99	907.7475	14.4325	individual
sim1997	healthy	all	18 to 85 years	18	85	62.53	60.82	3803.36	950.84	15.205	individual
sim1997	healthy	all	18 to 85 years	18	85	61.73	64.59	3987.49	996.8725	16.1475	individual
sim1997	healthy	all	18 to 85 years	18	85	62.75	63.58	3989.86	997.465	15.895	individual
sim1997	healthy	all	18 to 85 years	18	85	62.39	64.95	4052.18	1013.045	16.2375	individual
sim1997	healthy	all	18 to 85 years	18	85	63.62	66.02	4200	1050	16.505	individual
sim1997	healthy	all	18 to 85 years	18	85	64.42	67.76	4364.92	1091.23	16.94	individual
sim1997	healthy	all	18 to 85 years	18	85	64.85	68.12	4417.46	1104.365	17.03	individual
sim1997	healthy	all	18 to 85 years	18	85	65.07	70.54	4589.52	1147.38	17.635	individual
sim1997	healthy	all	18 to 85 years	18	85	65.87	68.49	4511.02	1127.755	17.1225	individual
sim1997	healthy	all	18 to 85 years	18	85	65.72	67.1	4410.29	1102.5725	16.775	individual
sim1997	healthy	all	18 to 85 years	18	85	65.36	67.1	4385.35	1096.3375	16.775	individual
sim1997	healthy	all	18 to 85 years	18	85	65.87	65.04	4284.13	1071.0325	16.26	individual
sim1997	healthy	all	18 to 85 years	18	85	64.93	64.33	4176.53	1044.1325	16.0825	individual
sim1997	healthy	all	18 to 85 years	18	85	64.57	63.63	4108.12	1027.03	15.9075	individual
sim1997	healthy	all	18 to 85 years	18	85	63.7	62.23	3963.58	990.895	15.5575	individual
sim1997	healthy	all	18 to 85 years	18	85	63.19	61.87	3909.4	977.35	15.4675	individual
sim1997	healthy	all	18 to 85 years	18	85	63.55	60.15	3822.97	955.7425	15.0375	individual
sim1997	healthy	all	18 to 85 years	18	85	64.93	58.81	3818.66	954.665	14.7025	individual
sim1997	healthy	all	18 to 85 years	18	85	66.02	58.84	3884.46	971.115	14.71	individual
sim1997	healthy	all	18 to 85 years	18	85	65.73	57.1	3753.68	938.42	14.275	individual
sim1997	healthy	all	18 to 85 years	18	85	64.65	55.35	3578.43	894.6075	13.8375	individual
sim1997	healthy	all	18 to 85 years	18	85	63.85	52.23	3335.01	833.7525	13.0575	individual
sim1997	healthy	all	18 to 85 years	18	85	65.67	46.76	3070.7	767.675	11.69	individual
sim1997	healthy	all	18 to 85 years	18	85	66.55	42.99	2860.62	715.155	10.7475	individual
sim1997	healthy	all	18 to 85 years	18	85	66.84	45.41	3034.79	758.6975	11.3525	individual
sim1997	healthy	all	18 to 85 years	18	85	66.25	53.67	3555.3	888.825	13.4175	individual
sim1997	healthy	all	18 to 85 years	18	85	66.68	54.02	3602.36	900.59	13.505	individual
sim1997	healthy	all	18 to 85 years	18	85	67.12	52.65	3534.11	883.5275	13.1625	individual
sim1997	healthy	all	18 to 85 years	18	85	67.48	57.15	3856.05	964.0125	14.2875	individual
sim1997	healthy	all	18 to 85 years	18	85	67.56	51.63	3487.94	871.985	12.9075	individual
sim1997	healthy	all	18 to 85 years	18	85	68.14	51.64	3518.89	879.7225	12.91	individual
sim1997	healthy	all	18 to 85 years	18	85	72.5	49.34	3576.69	894.1725	12.335	individual
sim1997	healthy	all	18 to 85 years	18	85	67.99	49.92	3394.02	848.505	12.48	individual
sim1997	healthy	all	18 to 85 years	18	85	69.01	49.6	3422.69	855.6725	12.4	individual
sim1997	healthy	all	18 to 85 years	18	85	70.03	49.97	3498.96	874.74	12.4925	individual
sim1997	healthy	all	18 to 85 years	18	85	70.47	44.8	3157.27	789.3175	11.2	individual
sim1997	healthy	all	18 to 85 years	18	85	71.92	46.22	3323.99	830.9975	11.555	individual
sim1997	healthy	all	18 to 85 years	18	85	70.9	51.37	3641.7	910.425	12.8425	individual
sim1997	healthy	all	18 to 85 years	18	85	71.84	53.8	3865.1	966.275	13.45	individual
sim1997	healthy	all	18 to 85 years	18	85	73.88	43.16	3188.98	797.245	10.79	individual
sim1997	healthy	all	18 to 85 years	18	85	74.9	42.5	3183.08	795.77	10.625	individual
sim1997	healthy	all	18 to 85 years	18	85	77.15	42.55	3282.94	820.735	10.6375	individual
sim1997	healthy	all	18 to 85 years	18	85	76.13	46.67	3552.64	888.16	11.6675	individual
sim1997	healthy	all	18 to 85 years	18	85	75.55	49.75	3758.76	939.69	12.4375	individual
sim1997	healthy	all	18 to 85 years	18	85	74.89	52.5	3931.5	982.875	13.125	individual
sim1997	healthy	all	18 to 85 years	18	85	74.74	55.6	4155.39	1038.8475	13.9	individual
sim1997	healthy	all	18 to 85 years	18	85	74.3	57.66	4283.98	1070.995	14.415	individual
sim1997	healthy	all	18 to 85 years	18	85	74.74	58.7	4387.14	1096.785	14.675	individual
sim1997	healthy	all	18 to 85 years	18	85	75.1	58.36	4383.24	1095.81	14.59	individual
sim1997	healthy	all	18 to 85 years	18	85	75.46	59.75	4509.09	1127.2725	14.9375	individual
sim1997	healthy	all	18 to 85 years	18	85	74.52	60.07	4476.65	1119.1625	15.0175	individual
sim1997	healthy	all	18 to 85 years	18	85	74.23	61.1	4535.4	1133.85	15.275	individual
sim1997	healthy	all	18 to 85 years	18	85	74.73	63.53	4747.61	1186.9025	15.8825	individual
sim1997	healthy	all	18 to 85 years	18	85	75.67	64.93	4913.59	1228.3975	16.2325	individual
sim1997	healthy	all	18 to 85 years	18	85	76.04	60.46	4597.27	1149.3175	15.115	individual
sim1997	healthy	all	18 to 85 years	18	85	76.55	60.81	4655.31	1163.8275	15.2025	individual
sim1997	healthy	all	18 to 85 years	18	85	76.84	61.85	4752.94	1188.235	15.4625	individual
sim1997	healthy	all	18 to 85 years	18	85	77.28	59.45	4594.33	1148.5825	14.8625	individual
sim1997	healthy	all	18 to 85 years	18	85	77.64	58.43	4536.35	1134.0875	14.6075	individual
sim1997	healthy	all	18 to 85 years	18	85	77.28	57.73	4461.2	1115.3	14.4325	individual
sim1997	healthy	all	18 to 85 years	18	85	77.28	55.66	4301.44	1075.36	13.915	individual
sim1997	healthy	all	18 to 85 years	18	85	77.58	52.91	4104.32	1026.08	13.2275	individual
sim1997	healthy	all	18 to 85 years	18	85	76.92	51.86	3989.01	997.2525	12.965	individual
sim1997	healthy	all	18 to 85 years	18	85	77.36	49.8	3852.48	963.12	12.45	individual
sim1997	healthy	all	18 to 85 years	18	85	77.87	48.09	3744.58	936.145	12.0225	individual
sim1997	healthy	all	18 to 85 years	18	85	78.31	46.72	3658.42	914.605	11.68	individual
sim1997	healthy	all	18 to 85 years	18	85	77.07	47.03	3625.01	906.2525	11.7575	individual
sim1997	healthy	all	18 to 85 years	18	85	78.88	51.21	4040.06	1010.015	12.8025	individual
sim1997	healthy	all	18 to 85 years	18	85	79.25	50.88	4032.04	1008.01	12.72	individual
sim1997	healthy	all	18 to 85 years	18	85	79.32	54.67	4336.52	1084.13	13.6675	individual
sim1997	healthy	all	18 to 85 years	18	85	80.41	46.77	3760.9	940.225	11.6925	individual
sim1997	healthy	all	18 to 85 years	18	85	80.92	46.44	3757.78	939.445	11.61	individual
sim1997	healthy	all	18 to 85 years	18	85	82.89	45.45	3767.06	941.765	11.3625	individual
sim1997	healthy	all	18 to 85 years	18	85	80.41	51.25	4121.12	1030.28	12.8125	individual
sim1997	healthy	all	18 to 85 years	18	85	80.33	53.66	4311.03	1077.7575	13.415	individual
sim1997	healthy	all	18 to 85 years	18	85	81.06	54.72	4435.22	1108.805	13.68	individual
sim1997	healthy	all	18 to 85 years	18	85	81.79	52.66	4307.29	1076.8225	13.165	individual
sim1997	healthy	all	18 to 85 years	18	85	82.51	55.1	4546.01	1136.5025	13.775	individual
sim1997	healthy	all	18 to 85 years	18	85	83.75	56.16	4703.09	1175.7725	14.04	individual
sim1997	healthy	all	18 to 85 years	18	85	84.69	53.08	4495.39	1123.8475	13.27	individual
sim1997	healthy	all	18 to 85 years	18	85	86	55.87	4804.56	1201.14	13.9675	individual
sim1997	healthy	all	18 to 85 years	18	85	88.46	57.65	5100.19	1275.0475	14.4125	individual
sim1997	healthy	all	18 to 85 years	18	85	89.92	55.27	4970.19	1242.5475	13.8175	individual
sim1997	healthy	all	18 to 85 years	18	85	92.1	51.88	4778.07	1194.5175	12.97	individual
sim1997	healthy	all	18 to 85 years	18	85	93.93	41.58	3905.3	976.325	10.395	individual
sim1997	healthy	all	18 to 85 years	18	85	93.98	60.89	5722.37	1430.5925	15.2225	individual
sim1997	healthy	all	18 to 85 years	18	85	93.91	62.96	5911.93	1477.9825	15.74	individual
sim1997	healthy	all	18 to 85 years	18	85	96.15	70.6	6787.75	1696.9375	17.65	individual
sim1997	healthy	all	18 to 85 years	18	85	97.6	72.01	7028.22	1757.055	18.0025	individual
sim1997	healthy	all	18 to 85 years	18	85	93.46	72.26	6753.01	1688.2525	18.065	individual
sim1997	healthy	all	18 to 85 years	18	85	93.17	70.52	6570.86	1642.715	17.63	individual
sim1997	healthy	all	18 to 85 years	18	85	89.84	65.62	5894.71	1473.6775	16.405	individual
sim1997	healthy	all	18 to 85 years	18	85	88.97	64.22	5713.05	1428.2625	16.055	individual
sim1997	healthy	all	18 to 85 years	18	85	88.68	63.86	5663.22	1415.805	15.965	individual
sim1997	healthy	all	18 to 85 years	18	85	86.06	63.8	5490.83	1372.7075	15.95	individual
sim1997	healthy	all	18 to 85 years	18	85	86.13	69.32	5970.41	1492.6025	17.33	individual
sim1997	healthy	all	18 to 85 years	18	85	87.14	69.35	6043.03	1510.7575	17.3375	individual
sim1997	healthy	all	18 to 85 years	18	85	87.14	71.76	6253.19	1563.2975	17.94	individual
sim1997	healthy	all	18 to 85 years	18	85	87.06	81.41	7087.63	1771.9075	20.3525	individual
sim1997	healthy	all	18 to 85 years	18	85	89.08	90.08	8024.73	2006.1825	22.52	individual
sim1997	healthy	all	18 to 85 years	18	85	85.9	82.42	7079.39	1769.8475	20.605	individual
sim1997	healthy	all	18 to 85 years	18	85	84.08	84.1	7070.88	1767.72	21.025	individual
sim1997	healthy	all	18 to 85 years	18	85	84.66	79.63	6741.81	1685.4525	19.9075	individual
sim1997	healthy	all	18 to 85 years	18	85	84.52	78.25	6613.49	1653.3725	19.5625	individual
sim1997	healthy	all	18 to 85 years	18	85	84.59	76.52	6473.62	1618.405	19.13	individual
sim1997	healthy	all	18 to 85 years	18	85	84.3	77.9	6566.96	1641.74	19.475	individual
sim1997	healthy	all	18 to 85 years	18	85	83.94	74.79	6277.69	1569.4225	18.6975	individual
sim1997	healthy	all	18 to 85 years	18	85	82.85	74.41	6165.51	1541.3775	18.6025	individual
sim1997	healthy	all	18 to 85 years	18	85	83	76.83	6376.75	1594.1875	19.2075	individual
sim1997	healthy	all	18 to 85 years	18	85	82.49	76.82	6336.68	1584.17	19.205	individual
sim1997	healthy	all	18 to 85 years	18	85	81.47	78.86	6424.96	1606.24	19.715	individual
sim1997	healthy	all	18 to 85 years	18	85	80.89	77.47	6266.56	1566.64	19.3675	individual
sim1997	healthy	all	18 to 85 years	18	85	82.69	90.27	7464.78	1866.195	22.5675	individual
sim1997	healthy	all	18 to 85 years	18	85	82.33	93.71	7714.82	1928.705	23.4275	individual
sim1997	healthy	all	18 to 85 years	18	85	81.81	97.84	8004.29	2001.0725	24.46	individual
sim1997	healthy	all	18 to 85 years	18	85	81.96	99.22	8131.69	2032.9225	24.805	individual
sim1997	healthy	all	18 to 85 years	18	85	81.01	102.65	8315.14	2078.785	25.6625	individual
sim1997	healthy	all	18 to 85 years	18	85	81.53	94.73	7722.62	1930.655	23.6825	individual
sim1997	healthy	all	18 to 85 years	18	85	81.53	92.66	7554.16	1888.54	23.165	individual
sim1997	healthy	all	18 to 85 years	18	85	80.66	89.19	7193.93	1798.4825	22.2975	individual
sim1997	healthy	all	18 to 85 years	18	85	79.79	83.65	6674.82	1668.705	20.9125	individual
sim1997	healthy	all	18 to 85 years	18	85	79.93	94.34	7540.68	1885.17	23.585	individual
sim1997	healthy	all	18 to 85 years	18	85	79.2	96.39	7634.43	1908.6075	24.0975	individual
sim1997	healthy	all	18 to 85 years	18	85	79.35	88.81	7047.51	1761.8775	22.2025	individual
sim1997	healthy	all	18 to 85 years	18	85	78.63	85.69	6737.92	1684.48	21.4225	individual
sim1997	healthy	all	18 to 85 years	18	85	77.47	85.32	6609.5	1652.375	21.33	individual
sim1997	healthy	all	18 to 85 years	18	85	78.05	81.88	6391.33	1597.8325	20.47	individual
sim1997	healthy	all	18 to 85 years	18	85	78.06	74.64	5826.71	1456.6775	18.66	individual
sim1997	healthy	all	18 to 85 years	18	85	78.07	69.82	5450.23	1362.5575	17.455	individual
sim1997	healthy	all	18 to 85 years	18	85	79.59	67.09	5340.27	1335.0675	16.7725	individual
sim1997	healthy	all	18 to 85 years	18	85	81.12	65.41	5305.84	1326.46	16.3525	individual
sim1997	healthy	all	18 to 85 years	18	85	82	61.29	5025.56	1256.39	15.3225	individual
sim1997	healthy	all	18 to 85 years	18	85	81.85	59.91	4903.57	1225.8925	14.9775	individual
sim1997	healthy	all	18 to 85 years	18	85	80.4	63.32	5090.74	1272.685	15.83	individual
sim1997	healthy	all	18 to 85 years	18	85	79.67	63.3	5043.36	1260.84	15.825	individual
sim1997	healthy	all	18 to 85 years	18	85	79.89	59.86	4782.33	1195.5825	14.965	individual
sim1997	healthy	all	18 to 85 years	18	85	79.1	57.77	4569.47	1142.3675	14.4425	individual
sim1997	healthy	all	18 to 85 years	18	85	78.37	56.37	4418.14	1104.535	14.0925	individual
sim1997	healthy	all	18 to 85 years	18	85	78.44	58.1	4557.5	1139.375	14.525	individual
sim1997	healthy	all	18 to 85 years	18	85	79.02	62.25	4919.07	1229.7675	15.5625	individual
sim1997	healthy	all	18 to 85 years	18	85	78.65	63.97	5031.27	1257.8175	15.9925	individual
sim1997	healthy	all	18 to 85 years	18	85	78.22	65.34	5110.36	1277.59	16.335	individual
sim1997	healthy	all	18 to 85 years	18	85	76.76	66.68	5118.56	1279.64	16.67	individual
sim1997	healthy	all	18 to 85 years	18	85	76.76	68.06	5224.34	1306.085	17.015	individual
sim1997	healthy	all	18 to 85 years	18	85	76.32	69.08	5272.76	1318.19	17.27	individual
sim1997	healthy	all	18 to 85 years	18	85	76.1	71.84	5467.04	1366.76	17.96	individual
sim1997	healthy	all	18 to 85 years	18	85	77.19	76.35	5892.98	1473.245	19.0875	individual
